Tabela 1
Country;Year;Inflaction Rate;Unemployment Rate;Interest Rate;Debt-to-GDP Ratio (Y)
Portugal;2000;2.6;4.5;4.8;48.4
Portugal;2001;3.6;4.6;4.7;51.1
Portugal;2002;3.4;5.7;4.0;53.7
Portugal;2003;3.0;6.6;2.6;55.7
Portugal;2004;2.5;6.7;2.2;57.5
Portugal;2005;2.4;7.6;2.5;62.5
Portugal;2006;3.4;8.1;3.8;61.6
Portugal;2007;2.0;7.6;4.4;68.4
Portugal;2008;2.9;7.6;4.3;71.7
Portugal;2009;-0.9;9.4;2.7;83.6
Portugal;2010;1.4;11.0;2.2;96.2
Portugal;2011;3.6;12.7;1.9;111.4
Portugal;2012;2.8;15.9;1.6;126.2
Portugal;2013;0.4;16.3;1.2;129.0
Portugal;2014;-0.2;13.9;0.8;130.2
Portugal;2015;0.5;12.4;0.2;129.0
Portugal;2016;0.6;11.2;0.0;131.5
Portugal;2017;1.4;8.9;0.0;126.1
Portugal;2018;1.0;7.0;0.2;122.0
Portugal;2019;0.3;6.5;0.0;117.7
Portugal;2020;0.3;6.8;0.0;134.9
Portugal;2021;0.5;6.9;0.0;125.4
Portugal;2022;1.1;6.5;0.0;116.1
Greece;2000;2.8;11.2;11.0;104.9
Greece;2001;3.7;11.6;4.0;107.1
Greece;2002;3.3;11.6;4.0;104.9
Greece;2003;2.2;10.6;4.0;101.5
Greece;2004;3.3;10.1;4.9;102.9
Greece;2005;3.2;9.3;4.9;107.4
Greece;2006;3.3;8.3;4.9;103.6
Greece;2007;2.9;8.4;4.9;103.1
Greece;2008;4.2;7.7;4.9;109.4
Greece;2009;-1.4;9.5;3.4;126.7
Greece;2010;4.7;12.7;17.3;146.2
Greece;2011;3.1;17.9;17.3;172.1
Greece;2012;1.7;24.4;8.9;159.6
Greece;2013;-0.9;27.5;6.7;177.7
Greece;2014;-1.4;26.5;6.7;180.1
Greece;2015;-1.1;24.9;6.0;176.9
Greece;2016;0.0;23.5;7.0;179.7
Greece;2017;1.0;21.5;8.0;178.6
Greece;2018;0.8;19.5;0.4;181.2
Greece;2019;0.6;16.9;1.2;176.6
Greece;2020;0.5;16.3;0.0;206.7
Greece;2021;2.8;15.8;0.1;194.7
Greece;2022;2.0;14.9;0.1;186.3
Spain;2000;3.4;12.8;4.7;58.0
Spain;2001;3.6;11.9;4.6;54.2
Spain;2002;3.0;11.2;3.7;51.3
Spain;2003;2.5;11.0;2.5;47.6
Spain;2004;3.1;11.0;2.0;45.3
Spain;2005;3.4;10.4;3.1;42.3
Spain;2006;2.7;8.2;3.9;38.9
Spain;2007;2.4;7.9;4.1;35.5
Spain;2008;1.4;11.2;4.1;39.4
Spain;2009;-0.3;18.0;1.3;52.7
Spain;2010;1.6;19.9;1.4;60.1
Spain;2011;2.4;21.4;1.4;69.5
Spain;2012;2.4;24.8;1.6;85.4
Spain;2013;1.5;26.1;1.2;93.7
Spain;2014;-0.2;24.4;0.3;99.3
Spain;2015;-0.6;22.1;0.2;99.3
Spain;2016;1.6;19.6;0.0;99.2
Spain;2017;2.0;17.2;-0.3;98.6
Spain;2018;1.8;15.3;-0.1;97.6
Spain;2019;0.8;14.1;-0.2;95.5
Spain;2020;-0.5;15.4;-0.4;120.4
Spain;2021;2.9;15.5;-0.4;118.9
Spain;2022;2.5;14.5;-0.4;111.9
Ireland;2000;5.4;4.4;4.7;37.8
Ireland;2001;4.0;4.3;3.2;35.5
Ireland;2002;3.4;4.8;2.7;32.1
Ireland;2003;3.4;4.6;2.0;30.9
Ireland;2004;2.4;4.3;2.2;29.6
Ireland;2005;2.2;4.3;3.2;27.4
Ireland;2006;2.6;4.3;3.7;24.8
Ireland;2007;4.6;4.6;3.7;25.0
Ireland;2008;3.7;6.3;2.5;44.3
Ireland;2009;-1.7;11.8;1.0;61.7
Ireland;2010;1.6;13.6;1.5;86.3
Ireland;2011;2.6;14.4;1.5;109.6
Ireland;2012;1.2;15.9;0.7;119.5
Ireland;2013;0.5;13.8;0.5;199.5
Ireland;2014;-0.3;11.4;0.2;105.2
Ireland;2015;0.0;9.4;0.0;78.7
Ireland;2016;0.2;7.9;-0.4;75.4
Ireland;2017;0.5;6.7;-0.4;68.9
Ireland;2018;0.7;5.8;-0.4;63.9
Ireland;2019;0.9;5.0;-0.4;57.0
Ireland;2020;0.5;7.0;-0.4;64.8
Ireland;2021;1.3;7.3;-0.4;70.1
Ireland;2022;1.5;6.1;-0.4;71.2
